underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2017-01-04,VIX,2017-01-04,47.5,P,0,0,0,0,0,2077,32.2,10359,32.4,14.24,14.24,6600,32.1,5258,32.3,14.2,14.2,0,9,
^VIX,2017-01-05,VIX,2017-01-05,50,C,0,0,0,0,0,0,0,15903,0.05,14.24,14.24,0,0,14109,0.05,14.2,14.2,0,16387,
^VIX,2017-01-06,VIX,2017-01-06,50,P,0,0,0,0,0,2190,34.7,6790,34.9,14.24,14.24,6600,34.6,3120,34.8,14.2,14.2,0,42,
^VIX,2017-01-07,VIX,2017-01-07,55,C,0,0,0,0,0,0,0,16146,0.05,14.24,14.24,0,0,14346,0.05,14.2,14.2,0,1057,
^VIX,2017-01-08,VIX,2017-01-08,55,P,0,0,0,0,0,2350,39.7,6747,39.9,14.24,14.24,6600,39.6,3260,39.8,14.2,14.2,0,94,
^VIX,2017-01-09,VIX,2017-01-09,60,C,0,0,0,0,0,0,0,17301,0.05,14.24,14.24,0,0,14453,0.05,14.2,14.2,0,16363,
^VIX,2017-01-10,VIX,2017-01-10,60,P,0,0,0,0,0,3188,44.7,8480,44.9,14.24,14.24,6600,44.6,3545,44.8,14.2,14.2,0,0,
^VIX,2017-01-11,VIX,2017-01-11,65,C,0,0,0,0,0,0,0,16919,0.05,14.24,14.24,0,0,14034,0.05,14.2,14.2,0,198,
^VIX,2017-01-12,VIX,2017-01-12,65,P,0,0,0,0,0,2897,49.7,8497,49.9,14.24,14.24,6600,49.6,3996,49.8,14.2,14.2,0,0,
^VIX,2017-01-13,VIX,2017-01-13,70,C,0,0,0,0,0,0,0,17525,0.05,14.24,14.24,0,0,14610,0.05,14.2,14.2,0,1661,
^VIX,2017-01-14,VIX,2017-01-14,70,P,0,0,0,0,0,1563,54.7,8529,54.9,14.24,14.24,6600,54.6,4570,54.8,14.2,14.2,0,8,
^VIX,2017-01-15,VIX,2017-01-15,10,C,0,0,0,0,0,3360,5.2,4898,5.8,14.24,14.24,3357,5.3,4876,5.9,14.2,14.2,0,21,
^VIX,2017-01-16,VIX,2017-01-16,10,P,0,0,0,0,0,0,0,375,0.05,14.24,14.24,0,0,302,0.05,14.2,14.2,0,0,
^VIX,2017-01-17,VIX,2017-01-17,10.5,C,0,0,0,0,0,3170,4.7,4868,5.3,14.24,14.24,3165,4.8,4847,5.4,14.2,14.2,0,0,
^VIX,2017-01-18,VIX,2017-01-18,10.5,P,0,0,0,0,0,0,0,4556,0.05,14.24,14.24,0,0,4448,0.05,14.2,14.2,0,0,
^VIX,2017-01-19,VIX,2017-01-19,11,C,0,0,0,0,0,3670,4.2,5479,4.8,14.24,14.24,3054,4.3,4864,4.9,14.2,14.2,0,0,
^VIX,2017-01-20,VIX,2017-01-20,11,P,0,0,0,0,0,0,0,4591,0.05,14.24,14.24,0,0,4396,0.05,14.2,14.2,0,0,
^VIX,2017-01-21,VIX,2017-01-21,11.5,C,0,0,0,0,0,3739,3.7,5023,4.3,14.24,14.24,3690,3.8,5029,4.4,14.2,14.2,0,60,
^VIX,2017-01-22,VIX,2017-01-22,11.5,P,0,0,0,0,0,0,0,342,0.05,14.24,14.24,0,0,337,0.05,14.2,14.2,0,0,
^VIX,2017-01-23,VIX,2017-01-23,12,C,4,4,3.6,3.6,5,4172,3.2,3924,3.8,14.24,14.24,3934,3.3,3873,3.9,14.2,14.2,3.76,62,
^VIX,2017-01-24,VIX,2017-01-24,12,P,0,0,0,0,0,0,0,7738,0.1,14.24,14.24,0,0,7943,0.1,14.2,14.2,0,0,
^VIX,2017-01-25,VIX,2017-01-25,12.5,C,0,0,0,0,0,1735,2.8,2418,3.3,14.24,14.24,540,2.9,2656,3.4,14.2,14.2,0,162,
^VIX,2017-01-26,VIX,2017-01-26,12.5,P,0,0,0,0,0,0,0,360,0.1,14.24,14.24,0,0,409,0.1,14.2,14.2,0,25,
^VIX,2017-01-27,VIX,2017-01-27,13,C,3.2,3.2,3.2,3.2,10,183,2.5,2307,2.85,14.24,14.24,247,2.5,488,2.9,14.2,14.2,3.2,161,
^VIX,2017-01-28,VIX,2017-01-28,13,P,0.1,0.15,0.1,0.1,7935,5278,0.05,5074,0.2,14.24,14.24,4067,0.05,5302,0.2,14.2,14.2,0.125,62,
